time;X;Y;Z;Roll;Pitch;yaw
0.000;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.010;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.020;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.030;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.040;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.050;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.060;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.070;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.080;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.090;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.100;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.110;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.120;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.130;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.140;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.150;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.160;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.170;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.180;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.190;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.200;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.210;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.220;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.230;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.240;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.250;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.260;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.270;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.280;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.290;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.300;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.310;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.320;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.330;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.340;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.350;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.360;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.370;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.380;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.390;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.400;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.410;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.420;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.430;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.440;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.450;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.460;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.470;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.480;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.490;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.500;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.510;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.520;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.530;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.540;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.550;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.560;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.570;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.580;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.590;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.600;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.610;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.620;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.630;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.640;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.650;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.660;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.670;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.680;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.690;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.700;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.710;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.720;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.730;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.740;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.750;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.760;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.770;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.780;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.790;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.800;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.810;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.820;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.830;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.840;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.850;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.860;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.870;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.880;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.890;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.900;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.910;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.920;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.930;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.940;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.950;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.960;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.970;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.980;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
0.990;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
1.000;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
1.010;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
1.020;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
1.030;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
1.040;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
1.050;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
1.060;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
1.070;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
1.080;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
1.090;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
1.100;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
1.110;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
1.120;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
1.130;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
1.140;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
1.150;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
1.160;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
1.170;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
1.180;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
1.190;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
1.200;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
1.210;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
1.220;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
1.230;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
1.240;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
1.250;0.00000;0.00000;600.00000;2.69971;-7.26958;-0.00307
